(8500, 51)
(8502, 14)
(8503, 2)
(8504, 6)
(8505, 63)
(8506, 2)
(8507, 2)
(8508, 10)
(8509, 2)
(8510, 14)
(8511, 2)
(8512, 104)
(8514, 35)
(8515, 4)
(8516, 3)
(8517, 4)
(8518, 2)
(8519, 2)
(8520, 73)
(8522, 2)
(8523, 3)
(8524, 3)
(8525, 10)
(8526, 35)
(8528, 37)
(8529, 2)
(8530, 4)
(8531, 2)
(8532, 51)
(8533, 4)
(8534, 4)
(8535, 4)
(8536, 20)
(8538, 4)
(8540, 35)
(8541, 10)
(8542, 2)
(8544, 63)
(8545, 2)
(8546, 2)
(8547, 14)
(8548, 3)
(8549, 2)
(8550, 91)
(8551, 2)
(8552, 6)
(8553, 2)
(8554, 14)
(8555, 4)
(8556, 35)
(8557, 2)
(8558, 4)
(8559, 6)
(8560, 37)
(8561, 2)
(8562, 4)
(8564, 3)
(8565, 4)
(8566, 2)
(8567, 2)
(8568, 197)
(8569, 4)
(8570, 4)
(8571, 2)
(8572, 3)
(8574, 4)
(8575, 15)
(8576, 44)
(8577, 3)
(8578, 2)
(8579, 2)
(8580, 134)
(8582, 4)
(8583, 2)
(8584, 20)
(8585, 4)
(8586, 37)
(8587, 2)
(8588, 10)
(8589, 4)
(8590, 4)
(8591, 3)
(8592, 37)
(8593, 2)
(8594, 2)
(8595, 10)
(8596, 10)
(8598, 4)
(8600, 51)
(8601, 4)
(8602, 14)
(8603, 2)
(8604, 25)
(8605, 2)
(8606, 4)
(8607, 4)
(8608, 18)
(8610, 51)
(8611, 2)
(8612, 3)
(8613, 20)
(8614, 4)
(8615, 2)
(8616, 20)
(8617, 2)
(8618, 4)
(8619, 10)
(8620, 10)
(8621, 2)
(8622, 10)
(8624, 97)
(8625, 20)
(8626, 4)
(8628, 10)
(8630, 4)
(8631, 10)
(8632, 20)
(8633, 2)
(8634, 4)
(8635, 4)
(8636, 10)
(8637, 2)
(8638, 4)
(8639, 2)
(8640, 661)
(8642, 4)
(8643, 4)
(8644, 3)
(8645, 14)
(8646, 14)
(8648, 20)
(8649, 8)
(8650, 10)
(8651, 2)
(8652, 35)
(8653, 2)
(8654, 2)
(8655, 4)
(8656, 11)
(8657, 2)
(8658, 35)
(8659, 2)
(8660, 10)
(8661, 2)
(8662, 4)
(8664, 51)
(8665, 2)
(8666, 4)
(8667, 11)
(8668, 10)
(8670, 35)
(8671, 4)
(8672, 18)
(8673, 10)
(8674, 2)
(8675, 3)
(8676, 25)
(8678, 2)
(8679, 4)
(8680, 73)
(8682, 4)
(8683, 2)
(8684, 10)
(8685, 10)
(8686, 4)
(8687, 4)
(8688, 37)
(8690, 14)
(8691, 2)
(8692, 10)
(8694, 73)
(8695, 4)
(8696, 6)
(8697, 4)
(8698, 2)
(8700, 91)
(8701, 4)
(8702, 4)
(8703, 3)
(8704, 96)
(8705, 2)
(8706, 4)
(8708, 10)
(8709, 2)
(8710, 14)
(8711, 2)
(8712, 136)
(8714, 2)
(8715, 14)
(8716, 3)
(8717, 2)
(8718, 4)
(8720, 37)
(8721, 20)
(8722, 10)
(8723, 4)
(8724, 10)
(8725, 3)
(8726, 2)
(8727, 2)
(8728, 6)
(8729, 4)
(8730, 35)
(8732, 10)
(8733, 4)
(8734, 4)
(8735, 2)
(8736, 249)
(8738, 4)
(8739, 3)
(8740, 35)
(8742, 14)
(8743, 2)
(8744, 6)
(8745, 14)
(8746, 2)
(8748, 117)
(8749, 2)
(8750, 37)
(8751, 2)
(8752, 11)
(8754, 4)
(8755, 4)
(8756, 10)
(8757, 10)
(8758, 4)
(8759, 2)
(8760, 73)
(8762, 4)
(8763, 4)
(8764, 10)
(8765, 2)
(8766, 10)
(8767, 2)
(8768, 29)
(8769, 4)
(8770, 4)
(8771, 3)
(8772, 35)
(8773, 2)
(8774, 4)
(8775, 51)
(8776, 6)
(8777, 2)
(8778, 51)
(8780, 10)
(8781, 2)
(8782, 2)
(8784, 97)
(8785, 4)
(8786, 4)
(8787, 4)
(8788, 15)
(8789, 4)
(8790, 14)
(8791, 2)
(8792, 20)
(8793, 3)
(8794, 2)
(8795, 2)
(8796, 10)
(8797, 2)
(8798, 4)
(8799, 4)
(8800, 170)
(8801, 2)
(8802, 20)
(8804, 10)
(8805, 4)
(8806, 14)
(8808, 20)
(8809, 2)
(8810, 4)
(8811, 10)
(8812, 3)
(8813, 2)
(8814, 14)
(8815, 4)
(8816, 37)
(8817, 2)
(8818, 2)
(8820, 248)
(8822, 4)
(8823, 4)
(8824, 6)
(8825, 3)
(8826, 4)
(8827, 4)
(8828, 3)
(8829, 11)
(8830, 4)
(8832, 164)
(8833, 3)
(8834, 4)
(8835, 14)
(8836, 8)
(8838, 10)
(8840, 73)
(8841, 4)
(8842, 2)
(8843, 2)
(8844, 35)
(8845, 4)
(8846, 2)
(8847, 3)
(8848, 37)
(8850, 35)
(8851, 2)
(8852, 3)
(8853, 4)
(8854, 4)
(8855, 14)
(8856, 108)
(8857, 2)
(8858, 4)
(8859, 2)
(8860, 10)
(8862, 14)
(8864, 18)
(8865, 10)
(8866, 14)
(8868, 10)
