(100, 8)
(102, 4)
(104, 6)
(105, 4)
(106, 2)
(108, 15)
(110, 4)
(111, 2)
(112, 11)
(114, 4)
(115, 2)
(116, 3)
(117, 3)
(118, 2)
(119, 2)
(120, 20)
(121, 2)
(122, 2)
(123, 2)
(124, 3)
(125, 2)
(126, 10)
(128, 14)
(129, 2)
(130, 4)
(132, 10)
(133, 2)
(134, 2)
(135, 6)
(136, 6)
(138, 4)
(140, 10)
(141, 2)
(142, 2)
(143, 2)
(144, 28)
(145, 2)
(146, 2)
(147, 3)
(148, 3)
(150, 10)
(152, 6)
(153, 3)
(154, 4)
(155, 2)
(156, 10)
(158, 2)
(159, 2)
(160, 18)
(161, 2)
(162, 11)
(164, 3)
(165, 4)
(166, 2)
(168, 20)
(169, 2)
(170, 4)
(171, 3)
(172, 3)
(174, 4)
(175, 3)
(176, 11)
(177, 2)
(178, 2)
(180, 25)
(182, 4)
(183, 2)
(184, 6)
(185, 2)
(186, 4)
(187, 2)
(188, 3)
(189, 6)
(190, 4)
(192, 29)
(194, 2)
(195, 4)
(196, 8)
(198, 10)
(200, 15)
